title,review_structured,parsed_rate
CM3: Cooperative Multi-goal Multi-stage Multi-agent Reinforcement Learning | OpenReview,"{""strengths"": [""Novel approach to multi-goal multi-agent reinforcement learning"", ""Addressing challenges of efficient exploration and credit-assignment"", ""Significant speedup over direct adaptations of existing algorithms""], ""weaknesses"": []}",9.2
Learning Invariants through Soft Unification | OpenReview,"{""strengths"": [""proposes novel approach to machine learning"", ""evaluates on multiple datasets"", ""explores potential for improved performance""], ""weaknesses"": [""lacks specific details on how soft unification is used"", ""relies on human pre-engineered variables"", ""may not generalize to all domains""]}",8.0
LambdaNet: Probabilistic Type Inference using Graph Neural Networks | OpenReview,"{""strengths"": [""Novel approach to type inference"", ""Experimental results show significant improvement over prior work"", ""Ability to predict user-defined types""], ""weaknesses"": [""Limited evaluation on general-purpose programming languages"", ""Potential for overfitting to specific library types"", ""Complexity of the graph neural network architecture""]}",8.3
Relevant-features based Auxiliary Cells for Robust and Energy Efficient Deep Learning | OpenReview,"{""strengths"": [], ""weaknesses"": []}",8.4
The fairness-accuracy landscape of neural classifiers | OpenReview,"{""strengths"": [""Clear identification of a new causal notion of fairness"", ""Use of multiobjective optimization to balance fairness and accuracy"", ""Experimental results on fairness-accuracy landscape""], ""weaknesses"": [""Lack of discussion on handling imbalanced datasets"", ""Assumes equal probability of covariates in both sensitive attribute values"", ""Limited scope to real-world applications""]}",8.4
Generative Multi Source Domain Adaptation | OpenReview,"{""strengths"": [""Proposes a new approach for Multi-Source Domain Adaptation"", ""Inspired by real-world observation of image factors"", ""Outperforms state-of-the-art methods""], ""weaknesses"": [""Lacks clarity on specific low-level features variations"", ""Does not address domain adaptation for all domains"", ""May require significant computational resources""]}",8.0
The asymptotic spectrum of the Hessian of DNN throughout training | OpenReview,"{""strengths"": [""Provides new insight into the Hessian of DNNs"", ""Full characterization of the asymptotics of the spectrum of the Hessian"", ""Applicable to initialization and during training""], ""weaknesses"": [""Technical complexity might limit accessibility"", ""Dependence on NTK assumption"", ""Limited generalizability to other optimization methods""]}",8.5
Neural Architecture Search in Embedding Space | OpenReview,"{""strengths"": [""Novel framework"", ""Improved performance comparable to popular NAS approaches"", ""Efficient search process with considerable reduction in searches""], ""weaknesses"": [""Non-explicit optimization process"", ""Limited to image classification task"", ""High computational complexity""]}",8.5
Mixed-curvature Variational Autoencoders | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Automated curriculum generation through setter-solver interactions | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Sequential Latent Knowledge Selection for Knowledge-Grounded Dialogue | OpenReview,"{""strengths"": [""Improved knowledge selection"", ""State-of-the-art performance on Wizard of Wikipedia"", ""Leverages response information for knowledge choice""], ""weaknesses"": [""Limited to sequential latent variable model"", ""Dependence on prior and posterior distribution"", ""May not generalize well to other dialogue tasks""]}",8.5
Extreme Tensoring for Low-Memory Preconditioning | OpenReview,"{""strengths"": [""Improves memory efficiency"", ""Accompanied by regret and convergence guarantees"", ""Works with arbitrary models""], ""weaknesses"": [""Limited to high-dimensional stochastic optimization""]}",8.5
NAMSG: An Efficient Method for Training Neural Networks | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Language GANs Falling Short | OpenReview,"{""strengths"": [""clearly demonstrates the fallacy of quality-only metrics"", ""proposes a definitive quality-diversity evaluation procedure"", ""establishes a comparison between MLE and GANs""], ""weaknesses"": []}",8.0
City Metro Network Expansion with Reinforcement Learning | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Training individually fair ML models with sensitive subspace robustness | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
Explaining Time Series by Counterfactuals | OpenReview,"{""strengths"": [""Improves upon existing methods by simulating counterfactuals"", ""Precise explanations generated by comparing to baseline methods"", ""Applicable to complex time series models""], ""weaknesses"": [""Dependence on quality of generated counterfactuals"", ""Potential for overfitting to noise in input signals"", ""Limited interpretability of results due to counterfactuals""]}",8.5
On the *steerability* of generative adversarial networks | OpenReview,"{""strengths"": [""Original contribution"", ""New technique to mitigate biases"", ""Potential for generalization""], ""weaknesses"": [""Limited scope"", ""Dependence on dataset breadth"", ""Potential for biased transformations""]}",8.2
TriMap: Large-scale Dimensionality Reduction Using Triplets | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
FALCON: Fast and Lightweight Convolution for Compressing and Accelerating CNN | OpenReview,"{""strengths"": [""Accurate method"", ""Improves compression and computation reduction"", ""Flexible with standard CNN models""], ""weaknesses"": [""Limited to classification tasks"", ""Depends on EHP formulation"", ""May require significant computational overhead""]}",8.5
Situating Sentence Embedders with Nearest Neighbor Overlap | OpenReview,"{""strengths"": [""Comparative approach to sentence embedders"", ""Task-agnostic evaluation method"", ""Comparison of 21 sentence embedders""], ""weaknesses"": [""Limited to nearest neighbor overlap"", ""May not generalize to other evaluation metrics"", ""Dependence on quality of input examples""]}",8.0
Learning Algorithmic Solutions to Symbolic Planning Tasks with a Neural Computer | OpenReview,"{""strengths"": [], ""weaknesses"": []}",
