,0
zeroshot.strengths.bertscore.F1.mean,0.06713446409667836
zeroshot.strengths.bertscore.F1.CI,"[0.05900698540819662, 0.07485548163606254]"
zeroshot.weaknesses.bertscore.F1.mean,0.02467163555169632
zeroshot.weaknesses.bertscore.F1.CI,"[0.017345762390920637, 0.03196947889135076]"
finetuned.strengths.bertscore.F1.mean,0.26177723368012173
finetuned.strengths.bertscore.F1.CI,"[0.2527022230200586, 0.27004895928727984]"
finetuned.weaknesses.bertscore.F1.mean,0.13780889795105225
finetuned.weaknesses.bertscore.F1.CI,"[0.12994492478472622, 0.1463006689196249]"
rate.baseline.mean.MAE,1.4654542845287555
rate.baseline.mean.RMSE,1.7375737254113732
rate.baseline.mean.R2,-0.0005813289283302936
rate.baseline.mean.Pearson,
rate.baseline.mean.N,512
rate.baseline.mean.MAE_CI,"[1.3800813467971043, 1.5466508925889442]"
rate.baseline.mean.RMSE_CI,"[1.6528926073970025, 1.8192031151003336]"
rate.baseline.len_linear.MAE,1.4659490425875483
rate.baseline.len_linear.RMSE,1.7378930355393012
rate.baseline.len_linear.R2,-0.0009491120088267468
rate.baseline.len_linear.Pearson,-0.027901750168332812
rate.baseline.len_linear.N,512
rate.baseline.len_linear.MAE_CI,"[1.3802891490032048, 1.5468471166654763]"
rate.baseline.len_linear.RMSE_CI,"[1.6531521408009535, 1.8192960922020731]"
rate.zeroshot.raw.MAE,4.2498100664767335
rate.zeroshot.raw.RMSE,4.622802687226322
rate.zeroshot.raw.R2,-5.625284570357463
rate.zeroshot.raw.Pearson,-0.029747487847378094
rate.zeroshot.raw.N,351
rate.zeroshot.raw.MAE_CI,"[4.06713200379867, 4.434113247863247]"
rate.zeroshot.raw.RMSE_CI,"[4.4587462900981, 4.787255314499172]"
rate.zeroshot.cal.MAE,1.5190508057330265
rate.zeroshot.cal.RMSE,1.8021939873451012
rate.zeroshot.cal.R2,-0.006924471235713492
rate.zeroshot.cal.Pearson,-0.029747487847378268
rate.zeroshot.cal.N,351
rate.zeroshot.cal.MAE_CI,"[1.4194382652859692, 1.6205251678711958]"
rate.zeroshot.cal.RMSE_CI,"[1.7033601815652977, 1.901121930294375]"
rate.finetuned.raw.MAE,2.2614942528735633
rate.finetuned.raw.RMSE,2.6812065126426443
rate.finetuned.raw.R2,-1.3667316782145997
rate.finetuned.raw.Pearson,0.027769397738006234
rate.finetuned.raw.N,406
rate.finetuned.raw.MAE_CI,"[2.124789614121511, 2.405793308702792]"
rate.finetuned.raw.RMSE_CI,"[2.5477692793847257, 2.81359227388998]"
rate.finetuned.cal.MAE,1.5479763881293274
rate.finetuned.cal.RMSE,1.9420295733379633
rate.finetuned.cal.R2,-0.2416527955747878
rate.finetuned.cal.Pearson,0.027769397738006248
rate.finetuned.cal.N,406
rate.finetuned.cal.MAE_CI,"[1.4355310385429292, 1.6651421432910745]"
rate.finetuned.cal.RMSE_CI,"[1.8143905107235607, 2.061307634793528]"
