title,parsed_rate,obj
Blockwise Self-Attention for Long Document Understanding | OpenReview,8.5,"{""strengths"": [""Novel approach to BERT architecture"", ""Improved efficiency and reduced memory usage"", ""Strong empirical evidence across datasets""], ""weaknesses"": [""Limited evaluation on very long documents"", ""No comparison to other models"", ""No discussion of potential biases""], ""rate"": 8.5}"
Certifying Distributional Robustness using Lipschitz Regularisation | OpenReview,8.0,"{""strengths"": [""Novel approach to DRR"", ""Empirical risk regularisation"", ""Lipschitz constant application""], ""weaknesses"": [""Limited to linear models and small perturbations"", ""No evaluation on large datasets"", ""No comparison to existing methods""], ""rate"": 8.0}"
An implicit function learning approach for parametric modal regression | OpenReview,8.0,"{""strengths"": [""Novel approach to multi-valued regression"", ""Improves upon limitations of standard regression and modal regression"", ""Applicable to high-frequency data""], ""weaknesses"": [""Assumes implicit function theorem applicability"", ""May not generalize well to low-frequency data"", ""Potential for numerical instability""], ""rate"": 8.0}"
On the Pareto Efficiency of Quantized CNN | OpenReview,8.6,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 8.6}"
Constant Time Graph Neural Networks | OpenReview,8.0,"{""strengths"": [""Novel Algorithm"", ""Sound Methodology"", ""Strong Empirical Evidence""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 8.0}"
Learning Representations in Reinforcement Learning: an Information Bottleneck Approach | OpenReview,5.0,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 5.0}"
Information Plane Analysis of Deep Neural Networks via Matrix--Based Renyi*s Entropy and Tensor Kernels | OpenReview,8.0,"{""strengths"": [""novel approach to IP analysis"", ""leveraging tensor kernels"", ""comprehensive IP analysis of large-scale DNNs""], ""weaknesses"": [""limited evaluation on small-scale DNNs"", ""no evaluation on CNNs"", ""no comparison to existing methods""], ""rate"": 8.0}"
A SPIKING SEQUENTIAL MODEL: RECURRENT LEAKY INTEGRATE-AND-FIRE | OpenReview,6.3,"{""strengths"": [""Novel approach to SNNs"", ""Improves upon RNNs' temporal characteristic"", ""Empirical results on neuromorphic datasets""], ""weaknesses"": [""Limited evaluation on benchmark datasets"", ""No comparison to ANNs"", ""Lack of generalizability""], ""rate"": 6.3}"
Transfer Alignment Network for Double Blind Unsupervised Domain Adaptation | OpenReview,8.5,"{""strengths"": [""Novel approach to double blind domain adaptation"", ""Effective feature alignment method"", ""Strong empirical evidence across datasets""], ""weaknesses"": [""Limited applicability to specific domains"", ""Potential over-reliance on labeled data"", ""Computational complexity may be high""], ""rate"": 8.5}"
Learning Similarity Metrics for Numerical Simulations | OpenReview,5.7,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 5.7}"
Continuous Adaptation in Multi-agent Competitive Environments | OpenReview,7.0,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 7.0}"
Context Based Machine Translation With Recurrent Neural Network For English-Amharic Translation | OpenReview,6.0,"{""strengths"": [""Context-based approach"", ""Use of RNNMT model"", ""Improved performance over NMT""], ""weaknesses"": [""Limited dataset size"", ""Insufficient evaluation metrics"", ""Lack of comparison to other methods""], ""rate"": 6.0}"
Robust Reinforcement Learning with Wasserstein Constraint | OpenReview,7.9,"{""strengths"": [""Quantitative measurement of transition probability disturbance"", ""Risk-aware approach using Wasserstein distance"", ""Novel application to reinforcement learning""], ""weaknesses"": [""Limited evaluation in a single Cart-Pole environment"", ""No consideration of potential over-optimism due to simplifications"", ""Assumes access to ground truth data for calibration""], ""rate"": 7.9}"
"Cross-Dimensional Self-Attention for Multivariate, Geo-tagged Time Series Imputation | OpenReview",8.5,"{""strengths"": [""Novel approach to multivariate, geo-tagged time series data"", ""Improves upon RNN limitations"", ""Strong empirical evidence across datasets""], ""weaknesses"": [""Assumes specific dataset characteristics"", ""May not generalize well to other domains"", ""Limited evaluation of interpretability""], ""rate"": 8.5}"
Neural Markov Logic Networks | OpenReview,8.0,"{""strengths"": [""Novel approach to MLNs"", ""Implicit rule representation"", ""Potential for knowledge-base completion and generation""], ""weaknesses"": [""Limited evaluation on benchmark datasets"", ""No explicit results on dataset hits"", ""Lack of comparison to existing NTPs""], ""rate"": 8.0}"
Model Architecture Controls Gradient Descent Dynamics: A Combinatorial Path-Based Formula | OpenReview,6.0,"{""strengths"": [""novel approach"", ""methodological insight"", ""relevance to deep learning""], ""weaknesses"": [""limited evaluation"", ""abstract scope too broad"", ""lacking concrete examples""], ""rate"": 6.0}"
Wider Networks Learn Better Features | OpenReview,8.0,"{""strengths"": [""Novel approach to feature learning"", ""Methodology based on activation atlases"", ""Empirical evidence across datasets""], ""weaknesses"": [""Limited generalizability"", ""Dependence on specific visualization technique"", ""Lack of direct comparison to baseline models""], ""rate"": 8.0}"
Why ADAM Beats SGD for Attention Models | OpenReview,8.0,"{""strengths"": [""Novel explanation of SGD's limitation"", ""Contribution to understanding heavy-tailed noise"", ""Adaptive solution for heavy-tailed noise""], ""weaknesses"": [""Limited evaluation scope"", ""Assumes heavy-tailed noise is common"", ""Does not account for other potential issues with SGD""], ""rate"": 8.0}"
Training Interpretable Convolutional Neural Networks towards Class-specific Filters | OpenReview,4.2,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 4.2}"
Continual Learning via Neural Pruning | OpenReview,5.0,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 5.0}"
A Bayes-Optimal View on Adversarial Examples | OpenReview,6.8,"{""strengths"": [""Novel approach to Bayes-Optimal classifier"", ""Systematic experiments with multiple datasets"", ""Clear explanation of conditions for vulnerability""], ""weaknesses"": [""Limited evaluation of robustness"", ""Dependence on specific training methods"", ""Lack of comparison to other machine learning methods""], ""rate"": 6.8}"
Deep Coordination Graphs | OpenReview,8.0,"{""strengths"": [""Novel approach to value function factorization"", ""Effective in challenging tasks"", ""Improves generalization through parameter sharing""], ""weaknesses"": [""Assumes a specific graph structure"", ""May not generalize to other tasks"", ""Limited applicability to other domains""], ""rate"": 8.0}"
A TWO-STAGE FRAMEWORK FOR MATHEMATICAL EXPRESSION RECOGNITION | OpenReview,7.3,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 7.3}"
Towards A Unified Min-Max Framework for Adversarial Exploration and Robustness | OpenReview,5.0,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 5.0}"
Contextual Inverse Reinforcement Learning | OpenReview,8.0,"{""strengths"": [""Novel approach to IRL"", ""Sound analytical framework"", ""Practical extensions to ES and EM""], ""weaknesses"": [""Limited applicability to non-linear rewards"", ""Lack of robustness to noise"", ""Insufficient evaluation of the method's scalability""], ""rate"": 8.0}"
Enforcing Physical Constraints in Neural Neural Networks through Differentiable PDE Layer | OpenReview,8.0,"{""strengths"": [""Novel differentiable spectral projection layer"", ""Efficiently enforces spatial PDE constraints"", ""Computationally cheaper than regular convolution layer""], ""weaknesses"": [""Limited applicability to other PDEs"", ""Potential for overfitting"", ""Dependence on specific dataset""], ""rate"": 8.0}"
Path Space for Recurrent Neural Networks with ReLU Activations | OpenReview,8.5,"{""strengths"": [""novel approach to RNNs"", ""efficient optimization algorithm"", ""effective results on benchmark datasets""], ""weaknesses"": [""limited applicability to other RNN architectures"", ""potential overfitting issues"", ""dependence on specific dataset""], ""rate"": 8.5}"
Prototype Recalls for Continual Learning | OpenReview,8.0,"{""strengths"": [""Novel approach to continual learning"", ""Metric learning for classification"", ""Memory efficient""], ""weaknesses"": [""Limited evaluation on larger datasets"", ""No comparison to state-of-the-art methods"", ""Potential for overfitting to initial tasks""], ""rate"": 8.0}"
Amharic Negation Handling | OpenReview,9.5,"{""strengths"": [""Novel approach to negation handling"", ""Strong empirical evidence"", ""Effective sentiment classification model""], ""weaknesses"": [""Limited dataset size"", ""Insufficient evaluation metrics"", ""No comparison to other languages""], ""rate"": 9.5}"
Temporal-difference learning for nonlinear value function approximation in the lazy training regime | OpenReview,8.0,"{""strengths"": [""Novel approach to TD learning"", ""Exponential convergence proof"", ""Applicable to neural networks""], ""weaknesses"": [""Limited evaluation on benchmark datasets"", ""No comparison to baseline methods"", ""Assumes lazy TD learning regime""], ""rate"": 8.0}"
Gradient Perturbation is Underrated for Differentially Private Convex Optimization | OpenReview,8.5,"{""strengths"": [""Novel approach to expected curvature"", ""Improved utility guarantee"", ""Corroborated by extensive experiments""], ""weaknesses"": [""Limited generalizability to non-convex problems"", ""Assumes specific optimization setup"", ""Dependence on empirical results""], ""rate"": 8.5}"
Empirical confidence estimates for classification by deep neural networks | OpenReview,8.0,"{""strengths"": [""Novel approach to uncertainty estimation"", ""Simple to use on existing networks"", ""Empirical evidence for Top-k classification""], ""weaknesses"": [""Limited to existing networks only"", ""Assumes softmax values are informative"", ""Lack of robustness to outliers""], ""rate"": 8.0}"
Split LBI for Deep Learning: Structural Sparsity via Differential Inclusion Paths | OpenReview,6.3,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 6.3}"
Decaying momentum helps neural network training | OpenReview,8.0,"{""strengths"": [""Novel approach to momentum"", ""Improved performance on multiple benchmarks"", ""Easy to implement""], ""weaknesses"": [""Limited evaluation on large datasets"", ""No comparison to other optimizers"", ""No discussion of overfitting risk""], ""rate"": 8.0}"
Accelerated Information Gradient flow | OpenReview,8.0,"{""strengths"": [""Novel approach to accelerated gradient flows"", ""Sound methodology for Fisher-Rao and Wasserstein metrics"", ""Strong empirical evidence across Bayesian inference""], ""weaknesses"": [""Limited evaluation on other datasets"", ""No comparison to state-of-the-art in all cases"", ""Adaptive restart technique may be complex""], ""rate"": 8.0}"
Attraction-Repulsion Actor-Critic for Continuous Control Reinforcement Learning | OpenReview,8.5,"{""strengths"": [""Novel application of normalizing flows"", ""Effective in avoiding local optima"", ""Strong empirical results on MuJoCo suite""], ""weaknesses"": [""Limited evaluation on other datasets"", ""No clear theoretical guarantees"", ""Dependence on specific reward functions""], ""rate"": 8.5}"
Cost-Effective Testing of a Deep Learning Model through Input Reduction | OpenReview,7.1,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 7.1}"
Conditional Invertible Neural Networks for Guided Image Generation | OpenReview,4.7,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 4.7}"
Efficient Inference and Exploration for Reinforcement Learning | OpenReview,8.0,"{""strengths"": [""Novel approach to statistical inference in RL"", ""Efficient construction of confidence regions"", ""Strong empirical evidence in numerical experiments""], ""weaknesses"": [""Limited applicability to other RL algorithms"", ""Assumes large sample sizes"", ""Lack of theoretical justification for exploration strategy""], ""rate"": 8.0}"
How the Softmax Activation Hinders the Detection of Adversarial and Out-of-Distribution Examples in Neural Networks | OpenReview,7.4,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 7.4}"
DeepAGREL: Biologically plausible deep learning via direct reinforcement | OpenReview,8.0,"{""strengths"": [""Novel approach to biologically plausible deep learning"", ""Sound methodology for deep neural networks"", ""Strong empirical evidence across multiple datasets""], ""weaknesses"": [""Limited applicability to other problems"", ""Potential overfitting issues"", ""Lack of comparison to baseline models""], ""rate"": 8.0}"
Expected Tight Bounds for Robust Deep Neural Network Training | OpenReview,5.8,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 5.8}"
Scaling Up Neural Architecture Search with Big Single-Stage Models | OpenReview,8.0,"{""strengths"": [""Novelty in scaling up NAS to large models"", ""Strong methodology for bridging gap between small and big models"", ""Empirical results on ImageNet benchmark""], ""weaknesses"": [""Lack of direct comparison to smaller models"", ""Potential overfitting issues with shared parameters"", ""Limited exploration of other datasets""], ""rate"": 8.0}"
VIDEO AFFECTIVE IMPACT PREDICTION WITH MULTIMODAL FUSION AND LONG-SHORT TEMPORAL CONTEXT | OpenReview,5.1,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 5.1}"
Wasserstein Adversarial Regularization (WAR) on label noise | OpenReview,7.9,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 7.9}"
Progressive Upsampling Audio Synthesis via Effective Adversarial Training | OpenReview,8.0,"{""strengths"": [""Novel approach to audio synthesis"", ""Progressive upsampling"", ""Real-time generation capabilities""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 8.0}"
On the Dynamics and Convergence of Weight Normalization for Training Neural Networks | OpenReview,8.0,"{""strengths"": [""Novel proof of convergence for ReLU networks"", ""Length-direction decoupling"", ""Lazy training observation""], ""weaknesses"": [""Limited evaluation on benchmark datasets"", ""No comparison to other normalization methods"", ""Assumes fixed step size for gradient descent""], ""rate"": 8.0}"
Wildly Unsupervised Domain Adaptation and Its Powerful and Efficient Solution | OpenReview,5.4,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 5.4}"
The Effect of Residual Architecture on the Per-Layer Gradient of Deep Networks | OpenReview,8.0,"{""strengths"": [""Novel approach to studying gradient statistics"", ""Insight into preservation of variance for deep networks"", ""Relevant contribution to understanding initialization parameters""], ""weaknesses"": [""Limited evaluation on benchmark datasets"", ""Lack of generalizability to other network types"", ""Potential oversimplification of complex phenomena""], ""rate"": 8.0}"
Structural Language Models for Any-Code Generation | OpenReview,8.0,"{""strengths"": [""Significant improvement over existing approaches"", ""Novel application of structural language modeling"", ""Strong performance on multiple benchmarks""], ""weaknesses"": [""Limited applicability to non-programming tasks"", ""Potential for overfitting to specific datasets"", ""Interpretability of model decisions may be challenging""], ""rate"": 8.0}"
Visual Imitation with Reinforcement Learning using Recurrent Siamese Networks | OpenReview,8.5,"{""strengths"": [""Novel application of Siamese networks to reinforcement learning"", ""Useful incorporation of multi-task data"", ""Effective balance of reward for instance-specific and general behavior""], ""weaknesses"": [""Lack of explicit baseline comparison"", ""Limited exploration of potential overfitting issues"", ""Potential for underutilization of additional image encoding loss""], ""rate"": 8.5}"
PDP: A General Neural Framework for Learning SAT Solvers | OpenReview,4.6,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 4.6}"
Growing Action Spaces | OpenReview,8.0,"{""strengths"": [""Novel approach to curriculum learning"", ""Efficient transfer of data and value estimates"", ""Strong application to large-scale tasks""], ""weaknesses"": [""Limited evaluation on smaller tasks"", ""Assumes control over environment"", ""Potential for overfitting to initial action space""], ""rate"": 8.0}"
ODE Analysis of Stochastic Gradient Methods with Optimism and Anchoring for Minimax Problems and GANs | OpenReview,8.5,"{""strengths"": [""Novel approach to GAN training dynamics"", ""Clear methodology"", ""Strong theoretical foundation""], ""weaknesses"": [""Limited evaluation on real-world datasets"", ""Optimism rate not clearly defined"", ""Assumes convex-concavity without justification""], ""rate"": 8.5}"
MODiR: Multi-Objective Dimensionality Reduction for Joint Data Visualisation | OpenReview,5.9,"{""strengths"": [""clear contribution"", ""clear contribution"", ""clear contribution""], ""weaknesses"": [""limited evaluation"", ""limited evaluation"", ""limited evaluation""], ""rate"": 5.9}"
Efficient Content-Based Sparse Attention with Routing Transformers | OpenReview,8.5,"{""strengths"": [""Novel approach to sparse attention"", ""Efficient computational complexity"", ""Strong empirical results across datasets""], ""weaknesses"": [""Limited evaluation on larger datasets"", ""No comparison to baseline models"", ""Potential for overfitting""], ""rate"": 8.5}"
Corpus Based Amharic Sentiment Lexicon Generation | OpenReview,8.5,"{""strengths"": [""Novel approach to sentiment lexicon generation"", ""Use of PPMI for sentiment analysis"", ""Amharic language support""], ""weaknesses"": [""Limited dataset size (519 seeds)"", ""Insufficient evaluation metrics"", ""No benchmarking against other approaches""], ""rate"": 8.5}"
